i,Phylo,Precision,Recall,F1
68,N,0.555205047318612,0.9539295392953929,0.7018943170488534
69,Y,0.9635854341736695,0.9595536959553695,0.9615653389238294
69,N,0.9853801169590644,0.9400278940027894,0.9621698786581013
70,Y,0.9042553191489362,0.9792626728110599,0.9402654867256637
70,N,0.9881516587677726,0.9608294930875576,0.9742990654205608
71,Y,0.9643705463182898,0.9311926605504587,0.9474912485414235
71,N,0.9925373134328358,0.9151376146788991,0.9522673031026253
72,Y,0.8636363636363636,0.9708029197080292,0.9140893470790378
72,N,0.9901719901719902,0.9805352798053528,0.9853300733496333
73,Y,0.8465189873417721,0.9674502712477396,0.9029535864978903
73,N,0.9812382739212008,0.945750452079566,0.9631675874769797
74,Y,0.8519195612431444,0.9708333333333333,0.9074975657254138
74,N,0.9711751662971175,0.9125,0.9409237379162191
75,Y,0.9265625,0.9817880794701986,0.9533762057877814
75,N,0.9913793103448276,0.9519867549668874,0.9712837837837838
76,Y,0.9185022026431718,0.9952267303102625,0.9553264604810997
76,N,0.9927710843373494,0.9832935560859188,0.988009592326139
77,Y,0.26707000864304237,0.9935691318327974,0.4209809264305177
77,N,0.2706299911268855,0.9807073954983923,0.4242002781641168
78,Y,0.9386666666666666,0.8564476885644768,0.8956743002544529
78,N,0.9885714285714285,0.8418491484184915,0.9093298291721419
79,Y,0.9146183699870634,0.9929775280898876,0.9521885521885521
79,N,0.9957386363636364,0.9845505617977528,0.9901129943502824
80,Y,0.8368,0.9942965779467681,0.9087749782797567
80,N,0.9941060903732809,0.9619771863117871,0.9777777777777777
81,Y,0.8275862068965517,0.9824561403508771,0.8983957219251337
81,N,0.996969696969697,0.9619883040935673,0.9791666666666666
82,Y,0.8710407239819005,0.9577114427860697,0.9123222748815166
82,N,0.981675392670157,0.9328358208955224,0.9566326530612245
83,Y,0.8991869918699187,0.9963963963963964,0.9452991452991453
83,N,0.9886148007590133,0.9387387387387387,0.9630314232902033
84,Y,0.8921001926782274,0.9978448275862069,0.9420142421159715
84,N,0.990990990990991,0.9482758620689655,0.9691629955947136
85,Y,0.8729582577132486,0.9412915851272016,0.9058380414312618
85,N,0.9831932773109243,0.9158512720156555,0.9483282674772037
86,Y,0.47058823529411764,0.98005698005698,0.6358595194085028
86,N,0.5,0.9715099715099715,0.6602129719264279
87,Y,0.35685483870967744,0.944,0.5179224579370885
87,N,0.3572192513368984,0.8906666666666667,0.5099236641221374
88,Y,0.8943089430894309,0.962800875273523,0.9272918861959958
88,N,0.9953596287703016,0.9387308533916849,0.9662162162162162
89,Y,0.9224283305227656,0.9820466786355476,0.951304347826087
89,N,0.9886792452830189,0.940754039497307,0.9641214351425943
90,Y,0.2720496894409938,0.9647577092511013,0.42441860465116277
90,N,0.2872200263504611,0.960352422907489,0.4421906693711968
91,Y,0.8760469011725294,0.9721189591078067,0.9215859030837005
91,N,0.9922928709055877,0.9572490706319703,0.9744560075685903
92,Y,0.3199608610567515,0.9761194029850746,0.4819454679439941
92,N,0.3240454076367389,0.9373134328358209,0.4815950920245399
93,Y,0.8795180722891566,0.9945504087193461,0.9335038363171355
93,N,0.9807162534435262,0.9700272479564033,0.9753424657534246
94,Y,0.849931787175989,0.9658914728682171,0.9042089985486212
94,N,0.966183574879227,0.9302325581395349,0.9478672985781991
95,Y,0.5071225071225072,0.9888888888888889,0.6704331450094162
95,N,0.5193452380952381,0.9694444444444444,0.6763565891472868
96,Y,0.9050279329608939,0.9908256880733946,0.945985401459854
96,N,0.981651376146789,0.981651376146789,0.981651376146789
97,Y,0.8923933209647495,0.9357976653696498,0.9135802469135802
97,N,0.9806451612903225,0.8871595330739299,0.9315628192032687
98,Y,0.9159519725557461,0.985239852398524,0.9493333333333334
98,N,0.9822134387351779,0.9169741697416974,0.9484732824427481
99,Y,0.9250614250614251,0.9907894736842106,0.9567979669631512
99,N,0.9946737683089214,0.9828947368421053,0.9887491727332892
